LotArea,Neighborhood,YearBuilt,BHK,SalePrice
4000,Somerst,1930,1.5,835000
10521,NWAmes,2004,1.5,830000
3500,OldTown,1910,1.5,785200
54059,BrkSide,1987,2,770000
12648,CollgCr,1986,2,720000
4958,Veenker,1952,1,718000
9000,CollgCr,1951,1,713250
8797,Crawfor,1956,1,712500
4923,NoRidge,1928,1,710000
12146,Mitchel,1998,2,695000
9313,Somerst,1942,1,689800
2798,NWAmes,1953,3,660000
45902,OldTown,1987,2,654950
5040,BrkSide,1902,1.5,650000
11172,CollgCr,1993,2,640000
3068,Veenker,1991,2,613000
12000,CollgCr,1967,1,613000
5616,Crawfor,1925,1.5,605000
4040,NoRidge,1947,1,605000
9873,Mitchel,1987,2,600000
14242,Somerst,1958,1,600000
57514,NWAmes,1939,2,590000
5886,OldTown,2014,2,580135
33825,BrkSide,1976,1,575000
7644,CollgCr,2010,2,575000
6710,Veenker,1952,1,571500
12112,CollgCr,1983,2,562100
10182,Crawfor,1963,1,560000
9600,NoRidge,1980,1,550000
11165,Mitchel,2001,2,548000
3000,Somerst,1903,1.5,545000
6041,NWAmes,1942,1.5,530000
4882,OldTown,1999,2,503000
4200,BrkSide,1945,1,500000
8872,CollgCr,1961,1,495000
3800,Veenker,2014,2,494995
7210,CollgCr,1989,2,475000
43647,Crawfor,1976,1,474900
9687,NoRidge,1998,2,471000
7488,Mitchel,1969,1,449500
6600,Somerst,1906,1,440000
57063,NWAmes,1989,2,440000
137565,OldTown,1913,1.5,437000
132858,BrkSide,1988,1,435000
4036,CollgCr,2003,2,432000
5120,Veenker,1924,1.5,430000
7203,CollgCr,1973,1,430000
5002,Crawfor,2013,2,427874
6000,NoRidge,1979,1,425000
9000,Mitchel,1978,1,425000
1182,Somerst,2007,3,425000
9600,NWAmes,1981,1,420000
5125,OldTown,1944,1,409950
4002,BrkSide,2009,2,402500
4800,CollgCr,1962,1,400000
4706,Veenker,2009,2,400000
7236,CollgCr,1947,1,390000
33740,Crawfor,1958,1,375900
99916,NoRidge,1990,2,365000
3712,Mitchel,2014,2,363990
8130,Somerst,1990,2,328500
26337,NWAmes,1980,1,325000
10758,OldTown,1952,1,320000
1602,BrkSide,2013,2,320000
4698,CollgCr,1998,2,315000
5175,Veenker,2003,2,312000
5338,CollgCr,1954,1,312000
4045,Crawfor,2014,2,309000
10621,NoRidge,1963,1,295000
18296,Mitchel,1958,1,285000
15641,Somerst,1940,1,280000
27200,NWAmes,1926,1.5,280000
7622,OldTown,1983,1,272500
10270,BrkSide,1966,1,268000
5000,CollgCr,1921,1,253000
7652,Veenker,1996,2,250000
16480,CollgCr,1968,1,239000
6860,Crawfor,1942,2,239000
8700,NoRidge,1970,1,235000
4840,Mitchel,1947,1,235000
15603,Somerst,1959,1,235000
5375,NWAmes,1952,1,234000
5000,OldTown,1942,1,230000
9936,BrkSide,1969,1,225000
9120,CollgCr,1961,1,223000
9566,Veenker,1995,1,222400
7962,CollgCr,1962,1,210000
9600,Crawfor,1962,1,206000
9048,NoRidge,1960,1,193000
2689,Mitchel,1986,2,174500
8220,Somerst,1959,1,150000
9088,NWAmes,1912,2,2400000
28176,OldTown,1969,1,2010000
13367,BrkSide,1992,2,1900000
17204,CollgCr,1952,1,1270000
13885,Veenker,1979,2,1130000
8737,CollgCr,1969,1,1100000
8000,Crawfor,1960,1,1030000
4000,NoRidge,2003,2,989000
8642,Mitchel,1987,2,907500
10669,Somerst,1999,2,875000
5414,NWAmes,1947,2,865000
32467,OldTown,1998,2,860000
9320,BrkSide,1994,2,837500
5500,CollgCr,1989,2,791000
9600,Veenker,1961,1,785000
7599,CollgCr,2006,1,767450
5104,Crawfor,2006,2,765000
3990,NoRidge,1912,1,760500
36183,Mitchel,1986,2,760000
12447,Somerst,1991,2,760000
115434,NWAmes,1923,1.5,759600
9619,OldTown,1973,1,746000
704,BrkSide,2011,3,742000
45514,CollgCr,1989,2,685000
41346,Veenker,1986,2,658588
6203,CollgCr,2008,2,648000
8500,Crawfor,1978,1,646000
1553,NoRidge,2007,2.5,640000
5260,Mitchel,2012,2,610000
9734,Somerst,1977,1,603500
1487,NWAmes,2006,3,586500
16411,OldTown,1974,1,583000
7897,BrkSide,1986,1,572000
11455,CollgCr,1961,1,565000
12708,Veenker,1996,2,560000
88426,CollgCr,1991,2,549000
17240,Crawfor,1958,1,545000
4160,NoRidge,1925,1,540000
2300,Mitchel,2005,2,539000
4910,Somerst,1993,2,532000
7029,NWAmes,1979,1,532000
7800,OldTown,2004,1,525000
1487,BrkSide,2011,2,520000
2820,CollgCr,1920,1,519000
11440,Veenker,2003,2,500000
2208,CollgCr,2007,2,499950
9072,Crawfor,1930,1,489000
59058,NoRidge,1985,1,485000
12669,Mitchel,1956,1,470000
4500,Somerst,1948,1,465000
1189,NWAmes,2006,3,455000
23345,OldTown,1967,1,453500
6800,BrkSide,1942,1,437000
5091,CollgCr,2003,2,427500
4399,Veenker,2007,2,418500
5962,CollgCr,1999,2,415000
5101,Crawfor,1952,1,411715
10731,NoRidge,1986,1,400000
11305,Mitchel,1986,1,400000
5244,Somerst,1959,1,399950
7303,NWAmes,2005,2,392500
7500,OldTown,1942,1,390000
11108,BrkSide,1952,1,390000
7475,CollgCr,1955,1,375000
6250,Veenker,1922,1,375000
4500,CollgCr,1959,1,371000
8100,Crawfor,1947,1,365000
8030,NoRidge,1978,2,364950
4000,Mitchel,1947,1,355000
12626,Somerst,1978,2,340000
7210,NWAmes,1979,1,335000
7140,OldTown,1989,1,327500
7800,BrkSide,1968,1,327500
7440,CollgCr,1949,1,324950
9380,Veenker,1978,1,320000
5400,CollgCr,1959,1,317000
11150,Crawfor,1995,1,310000
12120,NoRidge,1967,1,299000
11325,Mitchel,1972,1,292000
7757,Somerst,1992,1,289950
5136,NWAmes,2011,2,285000
9253,OldTown,1942,1,280000
8755,BrkSide,1983,1,275000
8149,CollgCr,1948,1,275000
4252,Veenker,2003,1.5,270000
29308,CollgCr,1983,1,261000
7225,Crawfor,1988,2,250500
8701,NoRidge,1960,1.5,250000
10584,Mitchel,1997,1,240500
33224,Somerst,1968,1,229500
7615,NWAmes,1984,1,219950
14400,OldTown,1977,1,212500
15837,BrkSide,1903,1.5,200000
10284,CollgCr,1943,1,190000
2378,Veenker,1919,1,175000
18540,CollgCr,1950,1,170000
7200,Crawfor,1974,1,161700
13062,NoRidge,1942,1,135000
15364,Mitchel,1967,1,129000
11000,Somerst,1980,1,119500
15580,NWAmes,2003,2,1800000
43950,OldTown,1989,2,1420000
3880,BrkSide,1977,3,1300000
8051,CollgCr,1935,1.5,1160000
17811,Veenker,2001,2,1080000
193593,CollgCr,2001,2,955000
3900,Crawfor,1923,1.5,886000
6000,NoRidge,2001,2,875000
5568,Mitchel,1906,2,875000
8547,Somerst,1994,2,799000
6402,NWAmes,1999,2,798000
13084,OldTown,1967,1,795000
35235,BrkSide,1983,2,749950
10338,CollgCr,1987,2,749000
10962,Veenker,1977,1,725000
4800,CollgCr,1959,1,700000
4185,Crawfor,2011,2,700000
219978,NoRidge,1990,2,685000
9750,Mitchel,1979,1,653000
3870,Somerst,1916,1,647500
4206,NWAmes,1917,1,640000
40202,OldTown,1980,1,630000
5350,BrkSide,1929,1.5,620000
3800,CollgCr,1926,1.5,619000
29110,Veenker,1990,2,610000
4000,CollgCr,1951,2,605004
1485,Crawfor,2007,2,584000
9966,NoRidge,1977,1,565000
6250,Mitchel,1910,1,564000
3713,Somerst,2003,2,560000
10720,NWAmes,1976,1,555000
5150,OldTown,2007,2,550000
8381,BrkSide,1968,1,547000
3400,CollgCr,1924,1,546000
51649,Veenker,1931,1.5,545000
8400,CollgCr,1962,1.5,540000
7665,Crawfor,1968,2,530000
35654,NoRidge,1973,2,530000
1664,Mitchel,2003,2,529999
12753,Somerst,2001,2,499950
53143,NWAmes,1988,1.5,499500
1432,OldTown,2008,2,499000
4750,BrkSide,2006,1,495000
10840,CollgCr,1994,2,492000
14250,Veenker,1996,2,466800
3840,CollgCr,1945,1,466500
1245,Crawfor,2014,2,465000
29970,NoRidge,1992,2,463000
9886,Mitchel,1947,1,456000
6032,Somerst,1959,1,453500
4676,NWAmes,1916,1.5,450000
4912,OldTown,2003,2,449950
3827,BrkSide,2008,2,445000
7500,CollgCr,1900,1,440000
15349,Veenker,1957,2,425000
3960,CollgCr,2014,2,411605
22651,Crawfor,1961,1,395000
7931,NoRidge,1983,1,395000
868,Mitchel,2003,3,390000
8100,Somerst,1969,1,386000
11500,NWAmes,1978,1,385000
5773,OldTown,2005,2,376000
8106,BrkSide,1962,1,375000
12324,CollgCr,1981,1,372500
6426,Veenker,1999,2,359800
4095,CollgCr,1914,1,356000
5540,Crawfor,2004,2,355500
4500,NoRidge,2004,2,343000
4781,Mitchel,2009,2,335000
5360,Somerst,1919,1,335000
3990,NWAmes,2009,2,324500
12128,OldTown,2006,2,310000
31299,BrkSide,1965,1,299950
5000,CollgCr,2005,2,297500
7666,Veenker,1989,1,292000
8424,CollgCr,1993,1,289000
9750,Crawfor,1961,1,279950
7242,NoRidge,1976,2,276000
1080,Mitchel,2006,2,275000
9450,Somerst,1957,1,270000
13500,NWAmes,1968,1,270000
4250,OldTown,1967,1,269000
4237,BrkSide,2006,2,268500
7642,CollgCr,1990,1,257000
5000,Veenker,1994,2,255000
10384,CollgCr,1976,1,250000
4825,Crawfor,1957,1,240000
10650,NoRidge,1954,1,237000
7408,Mitchel,1941,1,229000
2064,Somerst,2004,2,214100
10403,NWAmes,1959,1,210000
7560,OldTown,1958,1,189000
19200,BrkSide,1908,1,165000
9583,CollgCr,2005,2,1600000
16940,Veenker,1936,1.5,1370000
6002,CollgCr,2004,2,1300000
3600,Crawfor,1999,2,1280000
16600,NoRidge,1979,1,1150000
18500,Mitchel,1963,1,1120000
11240,Somerst,1960,2,1040000
8436,NWAmes,2014,2,969990
5750,OldTown,1928,1.5,920000
5562,BrkSide,2013,2,895000
7215,CollgCr,2014,2,879950
7679,Veenker,2014,2,837219
6815,CollgCr,2002,1,835000
9900,Crawfor,1959,1.5,809950
19831,NoRidge,1956,1,805000
12187,Mitchel,1986,2,744000
3800,Somerst,1919,2,739000
6180,NWAmes,2013,2,735000
13458,OldTown,1990,2,715000
23900,BrkSide,1975,1,680000
3300,CollgCr,1926,1.5,660000
9354,Veenker,1990,2,650000
5593,CollgCr,2001,2,600000
2175,Crawfor,2005,2,595000
6326,NoRidge,2008,2,589500
4747,Mitchel,2008,2,585000
6975,Somerst,1993,2,570000
5000,NWAmes,1926,1.5,550000
6034,OldTown,1990,2,545000
12476,BrkSide,1990,2,539500
9568,CollgCr,1985,1,539000
40250,Veenker,1983,2,535500
8000,CollgCr,1972,1,525000
7040,Crawfor,1974,1,510000
14250,NoRidge,1954,1,510000
4011,Mitchel,1904,1.5,500000
4590,Somerst,1923,1,475000
2805,NWAmes,2001,2,471000
7500,OldTown,1977,2,465000
8449,BrkSide,1958,1,455000
94525,CollgCr,1959,1,455000
5400,Veenker,1946,1,452000
1961,CollgCr,2005,2,450000
8395,Crawfor,1965,1,445000
50994,NoRidge,1983,2,435000
4080,Mitchel,1926,1.5,435000
5000,Somerst,1940,1,435000
6250,NWAmes,1939,1,432000
12596,OldTown,1977,1,415000
14653,BrkSide,1978,2,407193
1073,CollgCr,2007,2,405000
9994,Veenker,1959,1,402000
4080,CollgCr,1956,1,389250
14333,Crawfor,1953,1,387500
7740,NoRidge,1954,1.5,385200
7020,Mitchel,1953,1.5,360000
9900,Somerst,1983,1,320000
12500,NWAmes,1954,1,315000
15508,OldTown,1999,2,300000
9600,BrkSide,1967,1,294700
5000,CollgCr,1943,1,285000
5557,Veenker,2012,2,279000
8600,BrkSide,1975,1,270000
4800,BrkSide,1948,1,253500
9610,BrkSide,1962,1,200000
5000,BrkSide,1953,1,185000
103237,BrkSide,1918,1,160000
53173,BrkSide,1974,1,611000
5500,BrkSide,1998,2,568500
2940,BrkSide,1985,3,490000
6432,BrkSide,2006,2,462000
7850,BrkSide,2001,2,2700000
9360,BrkSide,1979,2,684680
7398,BrkSide,2001,2,567500
4169,BrkSide,1994,2,540000
4369,BrkSide,2007,2,540000
7200,BrkSide,2009,2,530000
62290,BrkSide,1976,2,510000
3550,BrkSide,1927,1.5,455000
3225,BrkSide,1915,1,445000
4381,BrkSide,2007,2,260000
112521,BrkSide,1978,2,1900000
26784,BrkSide,1958,1,1640000
15907,BrkSide,1985,2,1350000
19387,BrkSide,1972,2,1340000
16007,BrkSide,1984,2,1230000
10474,BrkSide,1954,1,1150000
19290,BrkSide,2002,2,1020000
4800,BrkSide,1909,1.5,980000
34560,BrkSide,1981,1,965000
10100,BrkSide,1967,1,852500
3905,BrkSide,1926,1.5,831000
5000,BrkSide,1987,2,750000
33206,BrkSide,1988,2,743700
246114,BrkSide,1999,2,739000
7778,BrkSide,2000,2,700000
63162,BrkSide,1994,2,649950
13435,BrkSide,1992,2,648000
8925,BrkSide,1991,2,640000
9300,BrkSide,1976,1,627000
16200,CollgCr,1958,1,625000
7237,Veenker,2004,2,620000
7399,CollgCr,2006,2,609900
47480,Crawfor,1981,2,605000
77972,NoRidge,2004,2,600000
15029,Mitchel,1991,2,599950
131790,Somerst,1937,2,585000
6275,NWAmes,2003,1,579000
3520,OldTown,1977,1,568000
12831,BrkSide,2001,2,563500
5386,CollgCr,1948,1,559000
10780,Veenker,1977,1,554000
951,CollgCr,2006,3,552000
4165,Crawfor,2005,2,550000
5100,NoRidge,1968,1,550000
3402,Mitchel,1900,1.5,550000
3464,Somerst,1998,2,546000
7149,NWAmes,1963,1,539950
6224,OldTown,2005,2,536000
36445,BrkSide,1980,2,525000
8800,CollgCr,1963,1,502000
9886,Veenker,1965,1.5,500000
1249,CollgCr,2004,2,489000
6500,Crawfor,1964,2,480000
11443,NoRidge,1952,1,475000
9928,Mitchel,1998,2,471000
13500,Somerst,1940,1,450000
14024,NWAmes,1992,2,442500
8153,OldTown,1948,1,440000
7200,BrkSide,1973,1,435000
5000,CollgCr,1906,1,435000
2550,Veenker,1986,1,428000
6460,CollgCr,1905,1,425000
6600,Crawfor,1919,1,417000
5060,NoRidge,1956,1,410000
4400,Mitchel,2006,2,410000
1136,Somerst,1943,2,403950
5100,NWAmes,1942,1,400000
3692,OldTown,2013,2.5,400000
1715,BrkSide,2004,2,398000
7875,CollgCr,1968,1.5,390000
7500,Veenker,1987,1,385000
7560,CollgCr,1960,1,379000
7528,Crawfor,1946,1,378500
10800,NoRidge,1958,1,368000
14937,Mitchel,1993,2,367300
2700,Somerst,2011,2,365000
8304,NWAmes,1997,2,364900
1241,OldTown,2008,2,352750
8050,BrkSide,1978,1,347000
1420,CollgCr,2008,3,345000
1210,Veenker,2008,2,345000
7665,CollgCr,1975,1,341000
45302,Crawfor,1977,2,328000
11805,NoRidge,1986,1,325000
1590,Mitchel,2010,2,315000
5909,Somerst,2003,2,307550
35988,NWAmes,1974,1,305100
5995,OldTown,1949,1,304700
4500,BrkSide,1974,2,290000
7963,CollgCr,1963,1,288350
35127,Veenker,1987,2,285000
158558,CollgCr,1948,1.5,280000
7252,Crawfor,1999,1,270000
31505,NoRidge,1960,1,265000
9000,Mitchel,1917,1,255000
8000,Somerst,1969,2,250250
5753,NWAmes,1928,1.5,250000
16320,OldTown,1934,1.5,240000
6301,BrkSide,1998,1,236000
13000,CollgCr,1944,1.5,235000
8912,Veenker,1948,1,234999
21000,CollgCr,1969,1,229950
8686,Crawfor,1963,1,213400
9000,NoRidge,1978,1,213000
21712,Mitchel,1938,1,212500
17232,Somerst,1977,2,1800000
21755,NWAmes,1988,1,1250000
7500,OldTown,1923,2,1240000
5432,BrkSide,2001,2,1230000
6000,CollgCr,2004,1.5,1180000
4622,Veenker,1988,2,1070000
3825,CollgCr,2014,2,1060000
28040,Crawfor,1983,2,1030000
14980,NoRidge,2013,2,915000
3909,Mitchel,2013,2,899900
20875,Somerst,1953,1,895000
12248,NWAmes,1998,2,870000
4500,OldTown,1926,2,800000
7500,BrkSide,1937,2,750000
5000,CollgCr,1926,1.5,749000
7024,Veenker,2006,2,745000
25341,CollgCr,1995,2,740000
3427,Crawfor,2000,2,710000
3880,NoRidge,1954,1,700000
9825,Mitchel,1950,2,700000
4694,Somerst,2005,2,695000
45254,NWAmes,2001,2,695000
9364,OldTown,2001,2,695000
8400,BrkSide,1960,1,680000
5500,CollgCr,1957,1,659500
6320,Veenker,1996,2,659000
11856,CollgCr,1962,1,655275
9731,Crawfor,1973,2,650000
9714,NoRidge,1983,1,608000
35889,Mitchel,2001,2,589900
7807,Somerst,1916,1.5,571000
10583,NWAmes,1952,1,569000
5000,OldTown,1954,1,566000
16500,BrkSide,1972,1,563000
3870,CollgCr,1900,1,558000
4976,Veenker,1930,1.5,555000
8853,CollgCr,2013,2,533112
8364,Crawfor,2006,2,525000
5150,NoRidge,1919,1,516200
5001,Mitchel,1996,2,515000
5957,Somerst,1995,2,505000
1208,NWAmes,2005,2,499950
3000,OldTown,1926,1,499000
10275,BrkSide,1980,2,490000
8302,CollgCr,1994,2,490000
11100,Veenker,1955,1,483300
4322,CollgCr,1910,1,480000
9500,Crawfor,1975,1,480000
224334,NoRidge,1983,1,475000
14800,Mitchel,1965,1,470000
7137,Somerst,1941,1,445434
1286,NWAmes,2000,3,440000
15247,OldTown,1986,1,435000
7189,BrkSide,1959,1,433000
9480,CollgCr,1951,1,429950
1246,Veenker,2005,3,429000
3880,CollgCr,1916,1,420000
10800,Crawfor,1941,1.5,417500
6045,NoRidge,2000,2,415000
3598,Mitchel,1926,1,403000
7563,Somerst,1978,1,400000
1157,NWAmes,1943,2,399950
6555,OldTown,1990,2,392000
8750,BrkSide,1971,1,385000
11123,CollgCr,1959,1,380000
7200,Veenker,1975,1,375500
9427,CollgCr,1999,2,375000
7133,Crawfor,2002,2,369990
8625,NoRidge,1976,1,366000
10375,Mitchel,1968,1,360000
9100,Somerst,1952,2,359950
43710,NWAmes,1978,1.5,350000
6909,OldTown,1955,1,345000
9133,BrkSide,1978,1,335000
9643,CollgCr,1992,2,315000
3622,Veenker,1924,1,315000
7650,CollgCr,1984,1,310000
11075,Crawfor,1965,1.5,310000
6771,NoRidge,1990,1,310000
8184,Mitchel,1947,1.5,307000
7719,Somerst,1981,2,306888
5000,NWAmes,2014,2,303210
18200,OldTown,1946,1,285000
6206,BrkSide,1990,2,278500
4200,CollgCr,2003,2,269000
5000,Veenker,1943,1,268000
7281,CollgCr,1962,1,253000
7200,Crawfor,1975,1,251750
7560,NoRidge,1984,1,250000
7200,Mitchel,1944,1.5,227000
26055,Somerst,1979,1,225000
7742,NWAmes,1967,1,219900
9812,OldTown,1962,1,199500
9200,BrkSide,1973,1,183000
8400,CollgCr,1971,1,175000
6600,Veenker,1965,1,165000
9450,CollgCr,1959,1,149500
2685,Crawfor,1939,1,100000
37325,NoRidge,1940,2,7060000
64033,Mitchel,1965,2,2890000
13500,Somerst,1950,1,1990000
17258,NWAmes,1995,2,1370000
6000,OldTown,1922,2,1090000
29224,BrkSide,1987,2,1010000
4125,CollgCr,1925,1.5,881000
5414,Veenker,1995,2,875000
11901,CollgCr,1977,2,852600
13241,Crawfor,1910,1.5,850830
6675,NoRidge,1948,1,813000
6181,Mitchel,2001,2,809950
4000,Somerst,1909,2,800000
6300,NWAmes,1916,1.5,799000
21870,OldTown,2004,2,785000
14607,BrkSide,1949,1,762400
10986,CollgCr,1997,2,742000
17833,Veenker,1979,2,740000
5100,CollgCr,1909,1.5,735000
6863,Crawfor,2013,2,719950
7378,NoRidge,1948,1,700000
4400,Mitchel,1902,2.5,665000
24190,Somerst,2002,2,657500
5750,NWAmes,1928,1,650000
3610,OldTown,1927,1.5,619400
53898,BrkSide,1979,1,600000
230868,CollgCr,1989,2,599000
5000,Veenker,1950,1,588000
27820,CollgCr,1976,1.5,580379
7465,Crawfor,1988,2,571000
3984,NoRidge,2004,2,560200
2262,Mitchel,2010,3,547500
15693,Somerst,1979,1,545000
2150,NWAmes,2014,2,545000
49222,OldTown,1978,2,535000
3680,BrkSide,1927,1,530000
4080,CollgCr,1921,1,527000
8400,Veenker,1980,1,522000
8698,CollgCr,2007,2,516000
19585,Crawfor,1951,2,515000
5899,NoRidge,1986,1,514000
4500,Mitchel,2007,2,495000
1093,Somerst,2007,2,487028
5500,NWAmes,1908,1.5,476000
2520,OldTown,2005,2,475000
5350,BrkSide,1955,1,465000
9702,CollgCr,1965,1,465000
7203,Veenker,1989,2,464000
4437,CollgCr,1929,1,460000
10688,Crawfor,2001,2,455000
19250,NoRidge,1955,1,450000
2581,Mitchel,2004,3,435000
4736,Somerst,1901,1.5,427000
4500,NWAmes,2009,2,415000
7201,OldTown,1948,1,405000
1131,BrkSide,1943,2,399950
1318,CollgCr,2004,2,386000
11407,Veenker,1954,1,381000
8336,CollgCr,1964,1,371500
7200,Crawfor,1951,1,371000
20339,NoRidge,1946,1,355000
10368,Mitchel,1965,1,354000
8182,Somerst,1962,1,352500
1592,NWAmes,2006,2,350000
1002,OldTown,2002,3,349000
13500,BrkSide,1963,1,335000
6686,CollgCr,1942,1,333000
7557,Veenker,1989,2,330000
7566,CollgCr,2012,2,329950
27427,Crawfor,1978,1,325000
8813,NoRidge,1952,1,317000
7294,Mitchel,1994,2,308900
5107,Somerst,1999,2,295000
7693,NWAmes,2006,2,292000
3874,OldTown,1931,1,290300
15090,BrkSide,1968,1,290000
4060,CollgCr,2005,2,285000
6607,Veenker,1989,2,280000
10096,CollgCr,1952,1,276900
8906,Crawfor,1962,1,262500
846,NoRidge,2006,2,250000
9078,Mitchel,1959,1,248000
9760,Somerst,1984,1.5,240000
5280,NWAmes,1910,1.5,234000
7200,OldTown,1951,1,230000
6300,BrkSide,1942,1,220000
4875,CollgCr,1977,1,214950
4700,Veenker,1953,1,200000
8261,CollgCr,1939,1,148000
15000,Crawfor,1927,1,110000
9453,NoRidge,1905,1.5,2250000
7500,Mitchel,1937,2,1690000
10800,Somerst,2006,2,1490000
20158,NWAmes,1965,1,1330000
14380,OldTown,2006,2,1240000
44947,BrkSide,1991,2,1230000
7500,CollgCr,1948,1.5,1180000
35445,Veenker,1989,2,1070000
10858,CollgCr,2003,2,1030000
4000,Crawfor,1911,1.5,920000
44431,NoRidge,1957,1,900000
8640,Mitchel,1966,1,890000
7012,Somerst,2005,2,860000
11843,NWAmes,1972,2,850000
12523,OldTown,1977,2,835000
40386,BrkSide,1987,2,822000
17859,CollgCr,1979,1,795000
6100,Veenker,2005,2,789500
111078,CollgCr,1989,1.5,784000
11250,Crawfor,1961,1,743000
5137,NoRidge,2000,2,717000
6400,Mitchel,1942,1,706000
27441,Somerst,1996,2,699000
3600,NWAmes,2007,2.5,680000
6600,OldTown,1952,1,678500
6420,BrkSide,1956,1,670000
2970,CollgCr,1925,2,660000
4750,Veenker,1919,1,656500
11928,CollgCr,2006,2,640000
3000,Crawfor,1929,1.5,620000
7297,NoRidge,1984,2,610750
5400,Mitchel,1914,2,600000
4608,Somerst,1967,1,599000
5200,NWAmes,1937,2,594000
1501,OldTown,2007,2.5,585000
6000,BrkSide,1903,2,580000
9225,CollgCr,1966,1,578000
4032,Veenker,1935,1.5,575000
4140,CollgCr,2004,2,561000
3880,Crawfor,1944,1.5,560000
5000,NoRidge,1909,1.5,545000
9736,Mitchel,1988,2,531000
3500,Somerst,1926,1.5,520000
19200,NWAmes,1967,1,510000
7972,OldTown,1976,1,501000
7420,BrkSide,1996,2,498500
7245,CollgCr,2003,2,495000
9300,Veenker,1955,1,495000
31941,CollgCr,1986,1,489950
35073,Crawfor,1989,2,485000
1103,NoRidge,2005,3,480000
7642,Mitchel,1957,1.5,465250
3780,Somerst,1940,1,448000
5664,NWAmes,1947,1,445000
6846,OldTown,1911,1.5,445000
5750,BrkSide,1910,1.5,440000
6556,CollgCr,1926,1.5,440000
7392,Veenker,1972,1,440000
6000,CollgCr,1947,1,430000
15678,Crawfor,1984,1,405000
1666,NoRidge,2008,2,402000
8219,Mitchel,1938,1.5,400000
14258,Somerst,1948,1,397990
6000,NWAmes,1950,1,381000
17172,OldTown,1947,1,370000
1779,BrkSide,2008,2,363000
4600,CollgCr,1904,1.5,350000
9525,Veenker,1966,1,349950
11375,CollgCr,2002,1,342500
1011,Crawfor,2009,2,336750
9244,NoRidge,1963,1,333000
8281,Mitchel,1947,1,320000
5665,Somerst,1908,1,315000
7000,NWAmes,1993,2,315000
1200,OldTown,1999,2,312500
1716,BrkSide,1997,1,310000
8124,CollgCr,2001,2,306000
1235,Veenker,2008,2,300000
7500,CollgCr,1988,2,299995
10119,Crawfor,1966,1,299000
8465,NoRidge,1990,1,294000
6720,Mitchel,1922,1,280000
7560,Somerst,1966,2,259000
5855,NWAmes,2003,2,248000
9697,OldTown,1985,1,235000
9869,BrkSide,1957,1,223000
7680,CollgCr,1968,1,210000
7840,Veenker,1970,1,210000
10450,CollgCr,1965,1,173000
32093,Crawfor,1982,1.5,1740000
3000,NoRidge,1900,2,1700000
5800,Mitchel,1906,2.5,1340000
4360,Somerst,2014,2,1130000
6660,NWAmes,1954,2,1120000
4800,OldTown,1905,2,1030000
10014,BrkSide,1973,1,975000
35081,CollgCr,1989,2,950000
9496,Veenker,1993,2,910000
13500,CollgCr,1974,2,890000
54450,Crawfor,1999,2,883000
22370,NoRidge,1997,2,863000
641203,Mitchel,1990,2,849900
115434,Somerst,2002,2,845000
4960,NWAmes,1926,2,822500
13503,OldTown,1952,1,810000
4442,BrkSide,2000,2,799000
3250,CollgCr,2007,2,795000
10875,Veenker,1939,1,775000
10285,CollgCr,1958,1,760000
12000,Crawfor,1968,1,725000
6600,NoRidge,1900,2,718500
48351,Mitchel,1978,1.5,697000
3060,Somerst,1930,1.5,696000
43091,NWAmes,1989,2,665000
23760,OldTown,1975,2,622500
20820,BrkSide,1978,1,615000
7972,CollgCr,1989,2,590000
9600,Veenker,1961,2,589000
8800,CollgCr,1925,1,589000
2807,Crawfor,1927,1.5,585000
4627,NoRidge,1992,2,580000
12874,Mitchel,1967,1,577000
1287,Somerst,2006,2,575000
7437,NWAmes,1948,1,556000
9775,OldTown,2003,2,540000
7200,BrkSide,1906,1,538000
3399,CollgCr,1926,1.5,530100
7070,Veenker,1958,1,513000
3000,CollgCr,1926,1.5,499950
6065,Crawfor,1985,2,485000
12177,NoRidge,1981,1,475000
6869,Mitchel,1919,1,459950
8555,Somerst,1957,1,458000
39000,NWAmes,1979,2,454000
7575,OldTown,1974,1,440000
8173,BrkSide,1997,1,435000
5040,CollgCr,1971,1.5,430000
7947,Veenker,1993,2,419000
4779,CollgCr,2009,2,415500
4833,Crawfor,1921,1,385000
5276,NoRidge,2006,2,385000
6365,Mitchel,2000,2,380000
1287,Somerst,2005,2,379500
4600,NWAmes,1951,1,370000
5338,OldTown,2001,2,370000
9957,BrkSide,1961,1,369500
9545,CollgCr,1976,1,350000
26615,Veenker,1987,1,345000
1155,CollgCr,2005,2,330000
8337,Crawfor,1997,2,325000
7965,NoRidge,2000,2,324900
5240,Mitchel,1983,1,305000
8184,Somerst,1947,1.5,304000
10814,NWAmes,1966,1,300000
13927,OldTown,1962,1,299000
8601,BrkSide,1905,1,285000
10588,CollgCr,1958,1,265000
8660,Veenker,1981,1,250600
3814,CollgCr,2012,2,250000
8540,Crawfor,1980,1,235000
7550,NoRidge,1986,1,230000
7200,Mitchel,1943,1,215000
5680,Somerst,1978,1,210000
11070,NWAmes,1978,1,206135
6566,OldTown,1976,1,205000
19672,BrkSide,1920,1,171000
6405,CollgCr,1944,1.5,153000
30184,Veenker,1950,1,129000
41656,CollgCr,1985,2,883000
11880,Crawfor,1968,1,850000
4187,NoRidge,2010,2,735000
7214,Mitchel,2005,2,530000
4924,Somerst,2008,2,525000
5000,NWAmes,1923,1,496752
